precio_venta,categoria_id,img_caratula,precio_intercambio,precio_compra,categoria_str,sku,titulo
35.00,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,22.00,15.00,PlayStation 4,711719874737,Until Dawn
55.00,1001,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,42.00,38.00,PlayStation 4,5021290072022,Kingdom Hearts HD 2.8 Final Chapter Prologue
28.00,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,17.00,12.00,PlayStation 4,5030936111346,Battlefield 4
65.00,1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,50.00,45.00,PlayStation 4,711719817963,Nioh
40.00,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,25.00,18.00,PlayStation 4,711719439912,Minecraft
38.00,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,24.00,17.00,PlayStation 4,3391891979016,Witcher 3: Wild Hunt
30.00,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,18.00,13.00,PlayStation 4,711719843337,God of War 3 - Remasterizado
22.00,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,13.00,9.00,PlayStation 4,3307215715239,Assassin's Creed 4: Black Flag
38.00,1001,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,24.00,17.00,PlayStation 4,5055856410706,Dishonored 2 (Sin DLC)
42.00,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,26.00,18.00,PlayStation 4,3307215889121,Rainbow Six: Siege
28.00,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,17.00,12.00,PlayStation 4,0711719278870,InFamous Second Son
15.00,1001,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,9.00,6.00,PlayStation 4,5030946112425,Battlefield Hardline
35.00,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,15.00,PlayStation 4,5021290069459,Just Cause 3
42.00,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,26.00,18.00,PlayStation 4,5035223113737,Need For Speed (2015)
28.00,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,17.00,12.00,PlayStation 4,711719277071,DriveClub
20.00,1001,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,7.00,4.00,PlayStation 4,5026555421256,NBA 2K16
38.00,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,24.00,17.00,PlayStation 4,5030932116925,Titanfall 2
28.00,1001,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,17.00,12.00,PlayStation 4,093155149007,"Evil Within, The"
22.00,1001,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,13.00,9.00,PlayStation 4,0711719849834,No Man's Sky
28.00,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,17.00,12.00,PlayStation 4,0711719800415,Bloodborne
18.00,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,11.00,8.00,PlayStation 4,4020628868550,Homefront: The Revolution
