categoria_str,sku,precio_intercambio,precio_venta,categoria_id,titulo,img_caratula,precio_compra
Wii U,045496334987,18.00,30.00,996,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,13.00
Wii U,0045496335618,18.00,30.00,996,Pokken Tournament (No Mewtwo Card),/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,13.00
Wii U,045496335489,15.00,25.00,996,Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,11.00
Wii U,045496334161,11.00,18.00,996,Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,8.00
Wii U,3307215654293,3.00,6.00,996,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,2.00
Wii U,045496332839,12.00,20.00,996,Wii Party U (Solo Juego),/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,9.00
Wii U,0045496332303,12.00,20.00,996,Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,9.00
Wii U,045496331207,9.00,15.00,996,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,6.00
Wii U,045496332198,9.00,15.00,996,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,6.00
Wii U,0045496332716,12.00,20.00,996,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,9.00
Xbox 360,5026555258098,12.00,20.00,827,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,9.00
Xbox 360,5030949111104,3.00,5.00,827,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,2.00
Xbox 360,882224721141,2.00,4.00,827,Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,1.80
Xbox 360,5030934102421,5.00,8.00,827,Battlefield 3 *2 Discos*,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,3.00
Xbox 360,5030917111679,9.00,15.00,827,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,6.00
Xbox 360,5030917096891,5.00,8.00,827,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,3.00
Xbox 360,882224260145,1.30,3.50,827,Gears of War,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,0.80
Xbox 360,5030934109734,0.70,2.00,827,FIFA 13,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.40
Xbox 360,0885370606515,9.00,15.00,827,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,6.00
Xbox 360,5035228112377,9.00,15.00,827,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,6.00
Xbox 360,882224482479,1.10,3.00,827,Halo 3,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,0.70
Xbox 360,0885370309607,3.00,6.00,827,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,2.00
Xbox 360,5030917085864,7.00,12.00,827,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,5.00
Xbox 360,5030917125911,6.00,10.00,827,Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,4.00
Xbox One,5030937116425,25.00,40.00,1002,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,18.00
Xbox One,0889842121575,20.00,32.00,1002,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,14.00
Xbox One,5030917181863,20.00,32.00,1002,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,14.00
Xbox One,5026555284127,24.00,38.00,1002,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,17.00
Xbox One,5035228113763,25.00,40.00,1002,Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,18.00
Xbox One,5051893230970,17.00,28.00,1002,Batman: Return To Arkham,/product_images/Juegos/Xbox One Juegos/5051893230970_s.jpg,12.00
Xbox One,885370662221,11.00,18.00,1002,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,8.00
Xbox One,885370951844,7.00,12.00,1002,Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,5.00
Xbox One,5055856406396,13.00,22.00,1002,Fallout 4,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,9.00
Xbox One,5021290073081,22.00,35.00,1002,Final Fantasy XV,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,15.00
Xbox One,3307215915127,42.00,62.00,1002,For Honor,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,34.00
Xbox One,3307215969977,22.00,35.00,1002,Watch Dogs 2,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,15.00
Xbox One,5026555297356,17.00,28.00,1002,Mafia III,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,12.00
Xbox One,889842149166,39.00,58.00,1002,Halo Wars 2,/product_images/Juegos/Xbox One Juegos/889842149166_s.jpg,32.00
Xbox One,5055060965924,35.00,52.00,1002,Resident Evil 7: Biohazard,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,29.00
PlayStation 4,3307215893227,13.00,22.00,1001,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,9.00
PlayStation 4,3307215803530,12.00,20.00,1001,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,9.00
PlayStation 4,711719407515,22.00,35.00,1001,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,15.00
PlayStation 4,5021290072985,24.00,38.00,1001,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,17.00
PlayStation 4,5030934121637,12.00,20.00,1001,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,9.00
PlayStation 4,4012927100417,11.00,18.00,1001,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,8.00
PlayStation 4,5055856406242,17.00,28.00,1001,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,12.00
PlayStation 4,3307215938782,17.00,28.00,1001,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,12.00
PlayStation 4,5051893179637,13.00,22.00,1001,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,9.00
PlayStation 4,711719817963,42.00,62.00,1001,Nioh,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,34.00
PlayStation 4,5030947112387,1.50,5.00,1001,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,0.70
PlayStation 4,711719838951,20.00,32.00,1001,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,14.00
PlayStation 4,5030917124549,3.00,10.00,1001,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,2.00
PlayStation 4,711719866534,22.00,35.00,1001,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,15.00
PlayStation 4,5030917148019,8.00,22.00,1001,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5.00
PlayStation 4,0711719278870,13.00,22.00,1001,InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,9.00
PlayStation 4,3391891979016,18.00,30.00,1001,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,13.00
PlayStation 4,5055856403418,12.00,20.00,1001,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,9.00
PlayStation 4,711719277071,12.00,20.00,1001,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,9.00
PlayStation 4,5030936111346,11.00,18.00,1001,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,8.00
PlayStation 4,711719275473,3.00,10.00,1001,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,2.00
PlayStation 4,4012927102336,25.00,40.00,1001,Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,18.00
PlayStation 4,3307215889121,26.00,42.00,1001,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,18.00
PlayStation 4,0711719800415,17.00,28.00,1001,Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,12.00
PlayStation 4,711719843337,12.00,20.00,1001,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,9.00
PlayStation 4,5051893165128,15.00,25.00,1001,"Tierra-Media, La: Sombras De Mordor",/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,11.00
PlayStation 4,5030917188893,32.00,52.00,1001,Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,23.00
PlayStation 4,5021290069459,22.00,35.00,1001,Just Cause 3,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,15.00
PlayStation 4,5051893170139,22.00,35.00,1001,Dying Light,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,15.00
PlayStation 4,5035223113737,20.00,32.00,1001,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,14.00
PlayStation 4,3307215715239,13.00,22.00,1001,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,9.00
PlayStation 4,3391891990097,36.00,58.00,1001,Dragon Ball Xenoverse 2,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,26.00
PlayStation 4,4012927101179,4.00,12.00,1001,Pro Evolution Soccer 2016,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,2.00
PlayStation 4,5021290074811,25.00,40.00,1001,Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,18.00
PlayStation 4,711719439912,20.00,32.00,1001,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,14.00
PlayStation 4,0711719849834,12.00,20.00,1001,No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,9.00
PlayStation 4,4020628868550,7.00,12.00,1001,Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,5.00
