img_caratula,sku,categoria_id,precio_intercambio,precio_compra,precio_venta,categoria_str,titulo
/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,1001,13.00,9.00,22.00,PlayStation 4,Far Cry Primal
/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946,1001,30.00,21.00,48.00,PlayStation 4,For Honor (No DLC)
/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,1001,4.00,2.00,12.00,PlayStation 4,Watch Dogs
/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,1001,20.00,14.00,32.00,PlayStation 4,Final Fantasy XV
/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,1001,8.00,5.00,22.00,PlayStation 4,Call Of Duty: Advanced Warfare
/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,1001,20.00,14.00,32.00,PlayStation 4,"Last of Us, The - Remastered"
/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,1001,13.00,9.00,22.00,PlayStation 4,Fallout 4
/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,1001,9.00,6.00,15.00,PlayStation 4,Metal Gear Solid V: The Phantom Pain
/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,5030941116350,1001,47.00,40.00,65.00,PlayStation 4,Mass Effect: Andrómeda (Sin DLC)
/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,1001,20.00,14.00,32.00,PlayStation 4,"Last Guardian, The"
/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,1001,18.00,13.00,30.00,PlayStation 4,Witcher 3: Wild Hunt
/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,1001,12.00,9.00,20.00,PlayStation 4,Batman: Arkham Knight
/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,1001,3.00,2.00,10.00,PlayStation 4,Destiny
/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,1001,6.00,4.00,18.00,PlayStation 4,Far Cry 4
/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,1001,24.00,17.00,38.00,PlayStation 4,Pro Evolution Soccer 2017
/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,1001,22.00,15.00,35.00,PlayStation 4,Uncharted: The Nathan Drake Collection
/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,1001,18.00,13.00,30.00,PlayStation 4,Minecraft
/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,1001,1.50,0.70,5.00,PlayStation 4,FIFA 15
/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,711719874737,1001,17.00,12.00,28.00,PlayStation 4,Until Dawn
/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,1001,11.00,8.00,18.00,PlayStation 4,Doom (2016)
/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,3307215715239,1001,11.00,8.00,18.00,PlayStation 4,Assassin's Creed 4: Black Flag
/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,3307215977453,1001,15.00,11.00,25.00,PlayStation 4,Assassin's Creed: The Ezio Collection
/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,711719817963,1001,34.00,24.00,55.00,PlayStation 4,Nioh
/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,711719277071,1001,9.00,6.00,15.00,PlayStation 4,DriveClub
/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,1001,17.00,12.00,28.00,PlayStation 4,Need For Speed (2015)
/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,1001,4.00,2.00,12.00,PlayStation 4,Killzone: Shadow Fall
/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,5051893165128,1001,18.00,13.00,30.00,PlayStation 4,"Tierra-Media, La: Sombras De Mordor"
/product_images/Juegos/PS4 Juegos/5021290069060_s.jpg,5021290069060,1001,12.00,9.00,20.00,PlayStation 4,Deus Ex: Mankind Divided
/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,3391891980685,1001,20.00,14.00,32.00,PlayStation 4,Dragon Ball: Xenoverse
/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,5026555421256,1001,6.00,4.00,18.00,PlayStation 4,NBA 2K16
/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,0711719800415,1001,15.00,11.00,25.00,PlayStation 4,Bloodborne
/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,5030932116925,1001,17.00,12.00,28.00,PlayStation 4,Titanfall 2
/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,1001,17.00,12.00,28.00,PlayStation 4,Just Cause 3
