precio_venta,categoria_id,img_caratula,titulo,precio_compra,categoria_str,sku,precio_intercambio
42.00,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,18.00,PlayStation 4,3307215889121,26.00
20.00,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,9.00,PlayStation 4,711719277071,12.00
62.00,1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,Nioh,34.00,PlayStation 4,711719817963,42.00
18.00,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,8.00,PlayStation 4,5030936111346,11.00
22.00,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,InFamous Second Son,9.00,PlayStation 4,0711719278870,13.00
25.00,1001,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,"Tierra-Media, La: Sombras De Mordor",11.00,PlayStation 4,5051893165128,15.00
22.00,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,9.00,PlayStation 4,3307215715239,13.00
40.00,1001,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,Rise of the Tomb Raider,18.00,PlayStation 4,5021290074811,25.00
10.00,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,2.00,PlayStation 4,711719275473,3.00
32.00,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),14.00,PlayStation 4,5035223113737,20.00
20.00,1001,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,"Order 1886, The",9.00,PlayStation 4,0711719284697,12.00
32.00,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,Titanfall 2,14.00,PlayStation 4,5030932116925,20.00
40.00,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,18.00,PlayStation 4,4012927102336,25.00
28.00,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,Until Dawn,12.00,PlayStation 4,711719874737,17.00
12.00,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,Homefront: The Revolution,5.00,PlayStation 4,4020628868550,7.00
48.00,1001,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,NBA 2K17,21.00,PlayStation 4,5026555422079,30.00
32.00,1001,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,Dragon Ball: Xenoverse,14.00,PlayStation 4,3391891980685,20.00
