categoria_id,precio_compra,img_caratula,sku,precio_venta,titulo,categoria_str,precio_intercambio
1001,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,25.00,Call Of Duty: Advanced Warfare,PlayStation 4,9.00
1001,14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,32.00,Fallout 4,PlayStation 4,20.00
1001,9.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,0711719278870,22.00,InFamous Second Son,PlayStation 4,13.00
1001,9.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,22.00,Doom (2016),PlayStation 4,13.00
1001,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,42.00,Rainbow Six: Siege,PlayStation 4,26.00
1001,17.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,38.00,Minecraft,PlayStation 4,24.00
1001,8.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,0711719849834,18.00,No Man's Sky,PlayStation 4,11.00
1001,0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,6.00,FIFA 15,PlayStation 4,1.80
1001,5.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,12.00,Killzone: Shadow Fall,PlayStation 4,7.00
1001,9.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,5030936111346,22.00,Battlefield 4,PlayStation 4,13.00
1001,14.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,711719848233,32.00,Ratchet & Clank (2016),PlayStation 4,20.00
1001,22.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,5026555422079,50.00,NBA 2K17,PlayStation 4,31.00
1001,15.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,35.00,Need For Speed (2015),PlayStation 4,22.00
1001,6.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,4020628868550,15.00,Homefront: The Revolution,PlayStation 4,9.00
1001,9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,0711719284697,20.00,"Order 1886, The",PlayStation 4,12.00
1001,18.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,42.00,Pro Evolution Soccer 2017,PlayStation 4,26.00
1001,14.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,5030932116925,32.00,Titanfall 2,PlayStation 4,20.00
1001,4.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,5026555421256,18.00,NBA 2K16,PlayStation 4,6.00
1001,9.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,3307215715239,20.00,Assassin's Creed 4: Black Flag,PlayStation 4,12.00
1001,15.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,35.00,Just Cause 3,PlayStation 4,22.00
1001,11.00,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,711719446019,25.00,Little Big Planet 3,PlayStation 4,15.00
1001,13.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,3391891980685,30.00,Dragon Ball: Xenoverse,PlayStation 4,18.00
1001,24.00,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,3391891990097,55.00,Dragon Ball Xenoverse 2,PlayStation 4,34.00
1001,17.00,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,3307215977453,38.00,Assassin's Creed: The Ezio Collection,PlayStation 4,24.00
1001,4.00,/product_images/Juegos/PS4 Juegos/5030917126215_s.jpg,5030917126215,20.00,Call Of Duty: Ghosts,PlayStation 4,7.00
1001,14.00,/product_images/Juegos/PS4 Juegos/5051893230963_s.jpg,5051893230963,32.00,Batman: Return To Arkham,PlayStation 4,20.00
