img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/DS Juegos/5060034556008_s.jpg,Margot's Word Brain (UK),Nintendo DS,4.00,3.00,834,5060034556008,7.00
/product_images/Juegos/DS Juegos/5060034556220_s.jpg,Army Men - Soldiers Of Misfortune,Nintendo DS,1.10,0.70,834,5060034556220,3.00
/product_images/Juegos/DS Juegos/5060034556466_s.jpg,Chrysler Classic Racing,Nintendo DS,1.30,0.80,834,5060034556466,3.50
/product_images/Juegos/DS Juegos/5060034556626_s.jpg,Puzzle Kingdoms,Nintendo DS,3.00,2.00,834,5060034556626,5.00
/product_images/Juegos/DS Juegos/5060034556848_s.jpg,Jelly Belly: Ballistic Beans,Nintendo DS,4.00,3.00,834,5060034556848,7.00
/product_images/Juegos/DS Juegos/5060034556985_s.jpg,Love Is In Bloom,Nintendo DS,1.10,0.70,834,5060034556985,3.00
/product_images/Juegos/DS Juegos/5060034557197_s.jpg,Margot's Bepuzzled,Nintendo DS,3.00,2.00,834,5060034557197,6.00
/product_images/Juegos/DS Juegos/5060048319767_s.jpg,Action Girlz Racing,Nintendo DS,1.50,0.90,834,5060048319767,4.00
/product_images/Juegos/DS Juegos/5060050942328_s.jpg,Zoo Keeper DS,Nintendo DS,0.40,0.20,834,5060050942328,1.50
/product_images/Juegos/DS Juegos/5060050943448_s.jpg,Animaniacs Lights Camera Action,Nintendo DS,0.40,0.20,834,5060050943448,1.50
/product_images/Juegos/DS Juegos/5060050945466_s.jpg,Flipper Critters,Nintendo DS,1.10,0.70,834,5060050945466,3.00
/product_images/Juegos/DS Juegos/5060050945930_s.jpg,Teenage Zombies,Nintendo DS,1.50,0.90,834,5060050945930,4.00
/product_images/Juegos/DS Juegos/5060050946005_s.jpg,Crayola Treasure Adventures,Nintendo DS,0.30,0.10,834,5060050946005,1.00
/product_images/Juegos/DS Juegos/5060050946074_s.jpg,Neves,Nintendo DS,1.30,0.80,834,5060050946074,3.50
/product_images/Juegos/DS Juegos/5060050946142_s.jpg,Boing! Docomodake!,Nintendo DS,5.00,3.00,834,5060050946142,8.00
/product_images/Juegos/DS Juegos/5060050947040_s.jpg,Tornado,Nintendo DS,0.40,0.20,834,5060050947040,1.50
/product_images/Juegos/DS Juegos/5060057023693_s.jpg,James Pond: Codename Robocod,Nintendo DS,3.00,2.00,834,5060057023693,6.00
/product_images/Juegos/DS Juegos/5060057024775_s.jpg,Super Fruitfall,Nintendo DS,0.90,0.60,834,5060057024775,2.50
/product_images/Juegos/DS Juegos/5060057024904_s.jpg,Mision Imposible,Nintendo DS,0.60,0.30,834,5060057024904,2.00
/product_images/Juegos/DS Juegos/5060057026441_s.jpg,Ferrari Challenge - Trofeo Pirelli,Nintendo DS,3.00,2.00,834,5060057026441,5.00
/product_images/Juegos/DS Juegos/5060094401560_s.jpg,Horrid Henry,Nintendo DS,1.30,0.80,834,5060094401560,3.50
/product_images/Juegos/DS Juegos/5060102950004_s.jpg,Space Invaders Revolution DS,Nintendo DS,0.70,0.30,834,5060102950004,2.50
