sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
711719738657,862,0.50,0.10,PSP,Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.01
711719169772,862,0.50,0.10,PSP,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.01
3307211667679,862,4.00,1.40,PSP,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,0.80
711719651888,862,3.00,0.90,PSP,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.40
4012927065174,862,1.50,0.40,PSP,Pro Evolution Soccer 2012,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.20
711719660071,862,3.00,0.90,PSP,Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.40
4005209098892,862,1.50,0.40,PSP,WWE Smackdown Vs. Raw 2008,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,0.20
3296580803354,862,3.00,0.90,PSP,Dragon Ball Z Shin Budokai 2,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,0.40
045496365202,831,18.00,11.00,Wii,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,8.00
045496368098,831,18.00,11.00,Wii,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,8.00
4260231341471,831,10.00,6.00,Wii,La Voz 2wi,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,4.00
045496363932,831,15.00,9.00,Wii,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,6.00
045496367299,831,12.00,4.00,Wii,Inazuma Eleven Strikers,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,2.00
045496365899,831,15.00,9.00,Wii,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,6.00
045496362201,831,4.00,2.00,Wii,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,1.80
8402862155065,831,12.00,7.00,Wii,La Voz 3 (No Microphone),/product_images/Juegos/Wii Juegos/8402862155065_s.jpg,5.00
045496366575,831,8.00,5.00,Wii,Animal Crossing Lets Go To The City (Solo Juego),/product_images/Juegos/Wii Juegos/045496366575_s.jpg,3.00
5055277013692,831,18.00,11.00,Wii,Mario y Sonic en los JJ.OO London 12,/product_images/Juegos/Wii Juegos/5055277013692_s.jpg,8.00
045496367473,831,10.00,3.00,Wii,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,2.00
045496368869,831,20.00,12.00,Wii,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,9.00
5030934069243,831,10.00,6.00,Wii,Trivial Pursuit,/product_images/Juegos/Wii Juegos/5030934069243_s.jpg,4.00
