categoria_id,precio_compra,sku,precio_intercambio,categoria_str,img_caratula,precio_venta,titulo
1002,5.00,5030917147791,7.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,12.00,Call Of Duty: Advanced Warfare
1002,17.00,5026555284127,24.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,38.00,Grand Theft Auto V (5)
1002,13.00,0889842121575,18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,30.00,Gears of War 4
1002,45.00,5030941116398,50.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,65.00,Mass Effect: Andrómeda (Sin DLC)
1002,13.00,5030917181863,18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00,Call Of Duty: Black Ops III
1002,3.00,5030948112881,5.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030948112881_s.jpg,8.00,FIFA 16
1002,8.00,5030947121631,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,18.00,Star Wars: Battlefront
1002,6.00,3307215805336,9.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,15.00,Assassin's Creed: Unity
1002,3.00,5030917124358,5.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,8.00,Destiny
1002,6.00,85370663983,9.00,Xbox One,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,15.00,Dead Rising 3
1002,11.00,5026555297356,15.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,25.00,Mafia III
1002,5.00,885370662023,7.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,12.00,Forza Motorsport 5
1002,18.00,5030937116425,26.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,42.00,FIFA 17
1002,11.00,5055856406396,15.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,25.00,Fallout 4
1001,8.00,5030934121637,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,18.00,Star Wars: Battlefront
1001,24.00,3307215913024,34.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,55.00,Ghost Recon: Wildlands (Sin DLC)
1001,4.00,3307215804445,6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,18.00,"Division, The"
1001,6.00,4012927100417,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,15.00,Metal Gear Solid V: The Phantom Pain
1001,5.00,5030917148019,8.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,22.00,Call Of Duty: Advanced Warfare
1001,14.00,711719407515,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,32.00,"Last of Us, The - Remastered"
1001,21.00,3307215914946,30.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,48.00,For Honor (No DLC)
1001,40.00,5030941116350,47.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,65.00,Mass Effect: Andrómeda (Sin DLC)
1001,9.00,5055856406242,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,22.00,Fallout 4
1001,15.00,3307215889121,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,35.00,Rainbow Six: Siege
1001,2.00,5030917124549,3.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,10.00,Destiny
1001,6.00,711719277071,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,15.00,DriveClub
1001,2.00,3307215732939,4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,Watch Dogs
1001,4.00,3307215793633,6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00,Far Cry 4
1001,13.00,3391891979016,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,30.00,Witcher 3: Wild Hunt
1001,15.00,711719866534,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00,Uncharted: The Nathan Drake Collection
1001,12.00,5035223113737,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,28.00,Need For Speed (2015)
1001,9.00,5051893179637,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,20.00,Batman: Arkham Knight
1001,14.00,711719838951,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,32.00,"Last Guardian, The"
1001,0.70,5030947112387,1.50,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5.00,FIFA 15
1001,13.00,711719439912,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,30.00,Minecraft
1001,12.00,5030932116925,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,28.00,Titanfall 2
1001,11.00,711719848233,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,25.00,Ratchet & Clank (2016)
1001,8.00,5055856403418,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00,Doom (2016)
1001,9.00,711719843337,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,22.00,God of War 3 - Remasterizado
1001,17.00,4012927102336,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,38.00,Pro Evolution Soccer 2017
1001,6.00,093155149007,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,15.00,"Evil Within, The"
1001,8.00,3307215715239,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,18.00,Assassin's Creed 4: Black Flag
1001,11.00,5055856410706,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,25.00,Dishonored 2 (Sin DLC)
1001,11.00,3307215977453,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,25.00,Assassin's Creed: The Ezio Collection
1001,20.00,5030917188893,28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,45.00,Overwatch
1001,3.00,5030936111346,5.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,15.00,Battlefield 4
1001,11.00,0711719800415,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,25.00,Bloodborne
1001,8.00,0711719284697,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,18.00,"Order 1886, The"
