categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
Xbox One,26.00,18.00,42.00,Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,1002,5035228113763
Xbox One,24.00,17.00,38.00,Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,1002,889842148671
Xbox One,11.00,8.00,18.00,Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,1002,885370929669
Xbox One,25.00,18.00,40.00,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,1002,5026555284127
Xbox One,12.00,9.00,20.00,Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,1002,885370662023
Xbox One,5.00,3.00,15.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,1002,5030917147791
Xbox One,26.00,18.00,42.00,Final Fantasy XV,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,1002,5021290073081
Xbox One,18.00,13.00,30.00,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,1002,5030917181863
Xbox One,2.00,1.40,6.00,Titanfall,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,1002,5030934111362
Xbox One,12.00,9.00,20.00,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,1002,885370662221
Xbox One,9.00,6.00,15.00,Doom (2016),/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,1002,5055856403524
PlayStation 4,28.00,20.00,45.00,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,1001,711719838951
PlayStation 4,7.00,5.00,12.00,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,1001,711719275473
PlayStation 4,13.00,9.00,22.00,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,1001,4012927100417
PlayStation 4,20.00,14.00,32.00,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,1001,3307215803530
PlayStation 4,13.00,9.00,22.00,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,1001,3307215793633
PlayStation 4,20.00,14.00,32.00,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,3307215893227
PlayStation 4,30.00,21.00,48.00,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,1001,5021290072985
PlayStation 4,18.00,13.00,30.00,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,1001,5051893179637
PlayStation 4,20.00,14.00,32.00,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,1001,5055856406242
PlayStation 4,26.00,18.00,42.00,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,1001,711719407515
PlayStation 4,42.00,38.00,55.00,Kingdom Hearts HD 2.8 Final Chapter Prologue,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,1001,5021290072022
PlayStation 4,2.00,1.20,8.00,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1001,5030947112387
PlayStation 4,17.00,12.00,28.00,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,1001,5055856403418
PlayStation 4,10.00,6.00,28.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,1001,5030917148019
PlayStation 4,25.00,18.00,40.00,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,1001,711719866534
