titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Rayman Legends,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,3307215655184,12.00,996,9.00,Wii U,20.00
NBA 2K16,/product_images/Juegos/Xbox 360 Juegos/5026555264785_s.jpg,5026555264785,7.00,827,5.00,Xbox 360,12.00
Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,12.00,827,9.00,Xbox 360,20.00
Call Of Duty: Advanced Warfare (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,5030917147685,9.00,827,6.00,Xbox 360,15.00
FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5035228112377,7.00,827,5.00,Xbox 360,12.00
Assassin's Creed: Revelations,/product_images/Juegos/Xbox 360 Juegos/3307215590010_s.jpg,3307215590010,3.00,827,2.00,Xbox 360,6.00
Assassin's Creed II,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,3307211666658,5.00,827,3.00,Xbox 360,8.00
FIFA 13,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,5030934109734,0.70,827,0.40,Xbox 360,2.00
Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,0885370309607,3.00,827,2.00,Xbox 360,6.00
Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5030917125911,5.00,827,3.00,Xbox 360,8.00
Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,3.00,827,2.00,Xbox 360,6.00
Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,9.00,827,6.00,Xbox 360,15.00
Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5026555245968,5.00,827,3.00,Xbox 360,8.00
Halo 3,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,882224482479,1.10,827,0.70,Xbox 360,3.00
FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,3.00,827,2.00,Xbox 360,6.00
Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,889842148671,22.00,1002,15.00,Xbox One,35.00
Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,20.00,1002,14.00,Xbox One,32.00
Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,24.00,1002,17.00,Xbox One,38.00
Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,3307215913161,54.00,1002,49.00,Xbox One,70.00
Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,885370929669,11.00,1002,8.00,Xbox One,18.00
FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,25.00,1002,18.00,Xbox One,40.00
Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,11.00,1002,8.00,Xbox One,18.00
Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,20.00,1002,14.00,Xbox One,32.00
Rise Of The Tomb Raider,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,885370984750,15.00,1002,11.00,Xbox One,25.00
Far Cry Primal,/product_images/Juegos/Xbox One Juegos/3307215938508_s.jpg,3307215938508,12.00,1002,9.00,Xbox One,20.00
Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5030917147791,5.00,1002,3.00,Xbox One,15.00
Assassin's Creed: Unity,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,3307215805336,9.00,1002,6.00,Xbox One,15.00
Quantum Break,/product_images/Juegos/Xbox One Juegos/889842056655_s.jpg,889842056655,12.00,1002,9.00,Xbox One,20.00
For Honor,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,3307215915127,42.00,1002,34.00,Xbox One,62.00
Assassin's Creed: Syndicate,/product_images/Juegos/Xbox One Juegos/3307215893951_s.jpg,3307215893951,13.00,1002,9.00,Xbox One,22.00
Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,17.00,1001,12.00,PlayStation 4,28.00
Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,12.00,1001,9.00,PlayStation 4,20.00
Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,24.00,1001,17.00,PlayStation 4,38.00
Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,12.00,1001,9.00,PlayStation 4,20.00
Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,11.00,1001,8.00,PlayStation 4,18.00
Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,11.00,1001,8.00,PlayStation 4,18.00
Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,3.00,1001,2.00,PlayStation 4,10.00
Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,13.00,1001,9.00,PlayStation 4,22.00
Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,7.00,1001,5.00,PlayStation 4,12.00
God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,711719843337,12.00,1001,9.00,PlayStation 4,20.00
"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,22.00,1001,15.00,PlayStation 4,35.00
FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,1.50,1001,0.70,PlayStation 4,5.00
Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,17.00,1001,12.00,PlayStation 4,28.00
Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,18.00,1001,13.00,PlayStation 4,30.00
Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,12.00,1001,9.00,PlayStation 4,20.00
InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,0711719278870,13.00,1001,9.00,PlayStation 4,22.00
"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,20.00,1001,14.00,PlayStation 4,32.00
Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,22.00,1001,15.00,PlayStation 4,35.00
Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,0711719800415,17.00,1001,12.00,PlayStation 4,28.00
Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,8.00,1001,5.00,PlayStation 4,22.00
Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,26.00,1001,18.00,PlayStation 4,42.00
Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,5030917188893,32.00,1001,23.00,PlayStation 4,52.00
"Tierra-Media, La: Sombras De Mordor",/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,5051893165128,15.00,1001,11.00,PlayStation 4,25.00
Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,5030936111346,11.00,1001,8.00,PlayStation 4,18.00
Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,3307215715239,13.00,1001,9.00,PlayStation 4,22.00
"Order 1886, The",/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,0711719284697,12.00,1001,9.00,PlayStation 4,20.00
DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,711719277071,12.00,1001,9.00,PlayStation 4,20.00
Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,20.00,1001,14.00,PlayStation 4,32.00
Nioh,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,711719817963,42.00,1001,34.00,PlayStation 4,62.00
Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,3.00,1001,2.00,PlayStation 4,10.00
Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,5021290074811,25.00,1001,18.00,PlayStation 4,40.00
NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,5026555422079,30.00,1001,21.00,PlayStation 4,48.00
Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,4020628868550,7.00,1001,5.00,PlayStation 4,12.00
Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,20.00,1001,14.00,PlayStation 4,32.00
Until Dawn,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,711719874737,17.00,1001,12.00,PlayStation 4,28.00
No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,0711719849834,12.00,1001,9.00,PlayStation 4,20.00
Just Cause 3,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,22.00,1001,15.00,PlayStation 4,35.00
Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,25.00,1001,18.00,PlayStation 4,40.00
