img_caratula,categoria_id,titulo,precio_venta,precio_compra,precio_intercambio,sku,categoria_str
/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,1002,Star Wars: Battlefront,18.00,8.00,11.00,5030947121631,Xbox One
/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,Star Wars: Battlefront,25.00,11.00,15.00,5030934121637,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,1001,"Last of Us, The - Remastered",35.00,15.00,22.00,711719407515,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,1001,Nioh,65.00,45.00,50.00,711719817963,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,1001,Far Cry Primal,32.00,14.00,20.00,3307215938782,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,1001,Watch Dogs,15.00,6.00,9.00,3307215732939,PlayStation 4
/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,1001,Batman: Arkham Knight,25.00,11.00,15.00,5051893179637,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,1001,Far Cry 4,18.00,8.00,11.00,3307215793633,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,1001,Destiny,12.00,2.00,4.00,5030917124549,PlayStation 4
/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,1001,Metal Gear Solid V: The Phantom Pain,20.00,9.00,12.00,4012927100417,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,1001,"Last Guardian, The",35.00,15.00,22.00,711719838951,PlayStation 4
/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,1001,Fallout 4,32.00,14.00,20.00,5055856406242,PlayStation 4
/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,1001,Witcher 3: Wild Hunt,32.00,14.00,20.00,3391891979016,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,1001,Uncharted: The Nathan Drake Collection,35.00,15.00,22.00,711719866534,PlayStation 4
/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,1001,Doom (2016),22.00,9.00,13.00,5055856403418,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,1001,Call Of Duty: Advanced Warfare,25.00,6.00,9.00,5030917148019,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,1001,Assassin's Creed 4: Black Flag,20.00,9.00,12.00,3307215715239,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1001,FIFA 15,6.00,0.90,1.80,5030947112387,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,1001,Minecraft,38.00,17.00,24.00,711719439912,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,1001,Rainbow Six: Siege,42.00,18.00,26.00,3307215889121,PlayStation 4
/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,1001,InFamous Second Son,22.00,9.00,13.00,0711719278870,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,1001,Little Big Planet 3,25.00,11.00,15.00,711719446019,PlayStation 4
/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,1001,"Tierra-Media, La: Sombras De Mordor",25.00,11.00,15.00,5051893165128,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,1001,Titanfall 2,32.00,14.00,20.00,5030932116925,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,1001,Overwatch,55.00,24.00,34.00,5030917188893,PlayStation 4
/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,1001,Pro Evolution Soccer 2017,42.00,18.00,26.00,4012927102336,PlayStation 4
/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,1001,Homefront: The Revolution,15.00,6.00,9.00,4020628868550,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,1001,Ratchet & Clank (2016),32.00,14.00,20.00,711719848233,PlayStation 4
/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,1001,Dragon Ball: Xenoverse,30.00,13.00,18.00,3391891980685,PlayStation 4
/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,1001,Killzone: Shadow Fall,12.00,5.00,7.00,711719275473,PlayStation 4
/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,1001,No Man's Sky,18.00,8.00,11.00,0711719849834,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,1001,Battlefield 4,22.00,9.00,13.00,5030936111346,PlayStation 4
