sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
5026555258098,9.00,Grand Theft Auto V (5) 2 Disco,827,12.00,Xbox 360,20.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg
3307215705728,6.00,Assassin's Creed 4: Black Flag (2 Disc),827,9.00,Xbox 360,15.00,/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg
5030917147685,6.00,Call Of Duty: Advanced Warfare (2 Disc),827,9.00,Xbox 360,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg
5030949111104,2.00,FIFA 14,827,3.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg
5035228112377,5.00,FIFA 15,827,7.00,Xbox 360,12.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg
5030917111679,6.00,Call Of Duty: Black Ops II,827,9.00,Xbox 360,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg
5030917096891,2.00,Call Of Duty: Modern Warfare 3,827,3.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg
5055060963852,3.00,Resident Evil 6 *2 Disc*,827,5.00,Xbox 360,8.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg
882224721141,0.90,Gears of War 2,827,1.50,Xbox 360,4.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg
5026555245968,3.00,Grand Theft Auto IV,827,5.00,Xbox 360,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg
0885370606515,5.00,Minecraft,827,7.00,Xbox 360,12.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg
0885370309607,2.00,Gears of War 3,827,3.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg
882224260145,0.80,Gears of War,827,1.30,Xbox 360,3.50,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg
3307210263421,2.00,Assassin's Creed,827,3.00,Xbox 360,5.00,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg
885370662221,8.00,Ryse: Son Of Rome,1002,11.00,Xbox One,18.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg
5055856406396,11.00,Fallout 4,1002,15.00,Xbox One,25.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg
5026555284127,17.00,Grand Theft Auto V (5),1002,24.00,Xbox One,38.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg
5035228113763,17.00,Battlefield 1,1002,24.00,Xbox One,38.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg
5030937116425,18.00,FIFA 17,1002,26.00,Xbox One,42.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg
