precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
6.00,28.00,Call Of Duty: Advanced Warfare,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,10.00,5030917148019
18.00,40.00,"Last Guardian, The",PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,25.00,711719838951
18.00,42.00,Pro Evolution Soccer 2017,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,26.00,4012927102336
32.00,58.00,Overwatch,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,39.00,5030917188893
9.00,22.00,Assassin's Creed 4: Black Flag,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,13.00,3307215715239
45.00,65.00,Nioh,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,50.00,711719817963
18.00,40.00,Uncharted: The Nathan Drake Collection,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,25.00,711719866534
1.20,8.00,FIFA 15,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,2.00,5030947112387
12.00,28.00,Battlefield 4,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,17.00,5030936111346
17.00,38.00,Witcher 3: Wild Hunt,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,24.00,3391891979016
15.00,35.00,Until Dawn,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,22.00,711719874737
13.00,30.00,Little Big Planet 3,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,18.00,711719446019
18.00,40.00,Minecraft,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,25.00,711719439912
13.00,30.00,God of War 3 - Remasterizado,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,18.00,711719843337
38.00,55.00,Kingdom Hearts HD 2.8 Final Chapter Prologue,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,42.00,5021290072022
12.00,28.00,InFamous Second Son,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,17.00,0711719278870
