titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Gears of War 3,0885370309607,9.00,4.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,5.00,827,Xbox 360
Gears of War 2,882224721141,5.00,2.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,3.00,827,Xbox 360
Call Of Duty: Black Ops,5030917085864,10.00,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,6.00,827,Xbox 360
Halo 3,882224482479,2.50,0.60,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,0.90,827,Xbox 360
Grand Theft Auto IV,5026555245968,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,3.00,827,Xbox 360
Call of Duty: Modern Warfare 2,5030917071065,8.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,5.00,827,Xbox 360
FIFA 17,5030937116425,45.00,25.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,30.00,1002,Xbox One
Battlefield 1,5035228113763,40.00,19.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,26.00,1002,Xbox One
Call Of Duty: Advanced Warfare,5030917147791,12.00,2.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,4.00,1002,Xbox One
Gears of War 4,0889842121575,38.00,18.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,24.00,1002,Xbox One
Dead Rising 3,85370663983,15.00,7.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,9.00,1002,Xbox One
Halo: The Master Chief Collection,0885370863956,15.00,7.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,9.00,1002,Xbox One
Call Of Duty: Black Ops III,5030917181863,28.00,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,18.00,1002,Xbox One
Forza Motorsport 5,885370662023,18.00,8.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,11.00,1002,Xbox One
Grand Theft Auto V (5),5026555284127,40.00,19.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,26.00,1002,Xbox One
Rise Of The Tomb Raider,885370984750,25.00,12.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,16.00,1002,Xbox One
Far Cry 4,3307215794722,15.00,7.00,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,9.00,1002,Xbox One
Gears Of War: Ultimate Edition,885370951844,15.00,7.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,9.00,1002,Xbox One
Halo 5: Guardians,885370929669,20.00,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,13.00,1002,Xbox One
Homefront: The Revolution,4020628868543,15.00,7.00,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,9.00,1002,Xbox One
"Division, The",3307215804315,22.00,10.00,/product_images/Juegos/Xbox One Juegos/3307215804315_s.jpg,14.00,1002,Xbox One
Batman: Arkham Knight,5051893179637,30.00,14.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,19.00,1001,PlayStation 4
"Last Guardian, The",711719838951,45.00,25.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,30.00,1001,PlayStation 4
"Last of Us, The - Remastered",711719407515,40.00,19.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,26.00,1001,PlayStation 4
Metal Gear Solid V: The Phantom Pain,4012927100417,25.00,12.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,16.00,1001,PlayStation 4
Far Cry 4,3307215793633,25.00,12.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,16.00,1001,PlayStation 4
FIFA 15,5030947112387,6.00,0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1.80,1001,PlayStation 4
Assassin's Creed: Unity,3307215803530,30.00,14.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,19.00,1001,PlayStation 4
Pro Evolution Soccer 2017,4012927102336,45.00,21.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,29.00,1001,PlayStation 4
Witcher 3: Wild Hunt,3391891979016,35.00,16.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,22.00,1001,PlayStation 4
Rise of the Tomb Raider,5021290074811,55.00,26.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,35.00,1001,PlayStation 4
Fallout 4,5055856406242,30.00,14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,19.00,1001,PlayStation 4
Doom (2016),5055856403418,28.00,13.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00,1001,PlayStation 4
Call Of Duty: Advanced Warfare,5030917148019,28.00,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,10.00,1001,PlayStation 4
DriveClub,711719277071,25.00,12.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,16.00,1001,PlayStation 4
NBA 2K16,5026555421256,20.00,4.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,7.00,1001,PlayStation 4
Uncharted: The Nathan Drake Collection,711719866534,42.00,20.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,27.00,1001,PlayStation 4
Titanfall 2,5030932116925,40.00,19.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,26.00,1001,PlayStation 4
Destiny,5030917124549,18.00,8.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,11.00,1001,PlayStation 4
NBA 2K17,5026555422079,52.00,29.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,35.00,1001,PlayStation 4
InFamous Second Son,0711719278870,28.00,13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,18.00,1001,PlayStation 4
No Man's Sky,0711719849834,25.00,12.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,16.00,1001,PlayStation 4
Rainbow Six: Siege,3307215889121,38.00,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,24.00,1001,PlayStation 4
Battlefield 4,5030936111346,25.00,12.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,16.00,1001,PlayStation 4
Bloodborne,0711719800415,30.00,14.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,19.00,1001,PlayStation 4
God of War 3 - Remasterizado,711719843337,28.00,13.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,18.00,1001,PlayStation 4
Battlefield Hardline,5030946112425,18.00,8.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,11.00,1001,PlayStation 4
