categoria_str,precio_intercambio,precio_venta,img_caratula,precio_compra,titulo,categoria_id,sku
PlayStation 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,8.00,Metal Gear Solid V: The Phantom Pain,1001,4012927100417
PlayStation 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,8.00,Far Cry 4,1001,3307215793633
PlayStation 4,3.00,10.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,2.00,Destiny,1001,5030917124549
PlayStation 4,18.00,30.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,13.00,Witcher 3: Wild Hunt,1001,3391891979016
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,9.00,Doom (2016),1001,5055856403418
PlayStation 4,17.00,28.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,12.00,Fallout 4,1001,5055856406242
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,9.00,God of War 3 - Remasterizado,1001,711719843337
PlayStation 4,13.00,22.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,9.00,InFamous Second Son,1001,0711719278870
PlayStation 4,8.00,22.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5.00,Call Of Duty: Advanced Warfare,1001,5030917148019
PlayStation 4,1.50,5.00,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,0.70,FIFA 15,1001,5030947112387
PlayStation 4,22.00,35.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,15.00,Uncharted: The Nathan Drake Collection,1001,711719866534
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,14.00,"Last Guardian, The",1001,711719838951
PlayStation 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,8.00,Battlefield 4,1001,5030936111346
PlayStation 4,32.00,52.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,23.00,Overwatch,1001,5030917188893
PlayStation 4,25.00,40.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,18.00,Rise of the Tomb Raider,1001,5021290074811
PlayStation 4,25.00,40.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,18.00,Pro Evolution Soccer 2017,1001,4012927102336
PlayStation 4,15.00,25.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,11.00,"Tierra-Media, La: Sombras De Mordor",1001,5051893165128
PlayStation 4,13.00,22.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,9.00,Assassin's Creed 4: Black Flag,1001,3307215715239
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,14.00,Minecraft,1001,711719439912
PlayStation 4,3.00,10.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,2.00,Killzone: Shadow Fall,1001,711719275473
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,14.00,Ratchet & Clank (2016),1001,711719848233
PlayStation 4,17.00,28.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,12.00,Bloodborne,1001,0711719800415
PlayStation 4,7.00,12.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,5.00,Homefront: The Revolution,1001,4020628868550
PlayStation 4,22.00,35.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,15.00,Just Cause 3,1001,5021290069459
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,14.00,Need For Speed (2015),1001,5035223113737
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,9.00,DriveClub,1001,711719277071
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,14.00,Dishonored 2 (Sin DLC),1001,5055856410706
PlayStation 4,17.00,28.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,12.00,Until Dawn,1001,711719874737
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,9.00,"Order 1886, The",1001,0711719284697
