precio_compra,img_caratula,categoria_str,sku,categoria_id,precio_venta,precio_intercambio,titulo
9.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,Wii U,045496333713,996,22.00,13.00,Bayonetta 2
8.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Xbox 360,5026555258098,827,18.00,11.00,Grand Theft Auto V (5) 2 Disco
4.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Xbox 360,5030917085864,827,10.00,6.00,Call Of Duty: Black Ops
2.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Xbox 360,5026555245968,827,6.00,3.00,Grand Theft Auto IV
2.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,Xbox 360,5055060963852,827,6.00,3.00,Resident Evil 6 *2 Disc*
5.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,Xbox 360,5035228112377,827,12.00,7.00,FIFA 15
8.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Xbox 360,0885370606515,827,18.00,11.00,Minecraft
3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Xbox 360,5030917096891,827,8.00,5.00,Call Of Duty: Modern Warfare 3
0.90,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,Xbox 360,882224918343,827,4.00,1.50,Forza Motorsport 3 (2 Discos)
2.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Xbox 360,882224721141,827,5.00,3.00,Gears of War 2
2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,Xbox 360,5030949111104,827,6.00,3.00,FIFA 14
0.90,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,Xbox 360,882224260145,827,4.00,1.50,Gears of War
3.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Xbox 360,5030917125911,827,8.00,5.00,Call Of Duty: Ghosts *2 Disc*
4.00,/product_images/Juegos/Xbox 360 Juegos/3307215634936_s.jpg,Xbox 360,3307215634936,827,10.00,6.00,Assassin's Creed III (3) 2 Discos
12.00,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,Xbox 360,5030938112877,827,28.00,17.00,FIFA 16
25.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,Xbox One,5030937116425,1002,45.00,30.00,FIFA 17
13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Xbox One,5030917181863,1002,28.00,18.00,Call Of Duty: Black Ops III
18.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Xbox One,0889842121575,1002,38.00,24.00,Gears of War 4
19.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Xbox One,5035228113763,1002,40.00,26.00,Battlefield 1
7.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Xbox One,85370663983,1002,15.00,9.00,Dead Rising 3
8.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Xbox One,885370662221,1002,18.00,11.00,Ryse: Son Of Rome
20.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Xbox One,889842148671,1002,42.00,27.00,Dead Rising 4
21.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,Xbox One,5021290073081,1002,45.00,29.00,Final Fantasy XV
2.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Xbox One,5030917147791,1002,12.00,4.00,Call Of Duty: Advanced Warfare
8.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,Xbox One,885370662023,1002,18.00,11.00,Forza Motorsport 5
12.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,Xbox One,5055856406396,1002,25.00,16.00,Fallout 4
1.90,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,Xbox One,5030917124358,1002,8.00,3.00,Destiny
19.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Xbox One,5026555284127,1002,40.00,26.00,Grand Theft Auto V (5)
0.90,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,Xbox One,5030934111362,1002,4.00,1.50,Titanfall
5.00,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,Xbox One,3307215733134,1002,12.00,7.00,Watch Dogs
12.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,PlayStation 4,4012927100417,1001,25.00,16.00,Metal Gear Solid V: The Phantom Pain
18.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,PlayStation 4,3307215938782,1001,38.00,24.00,Far Cry Primal
14.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,PlayStation 4,3307215803530,1001,30.00,19.00,Assassin's Creed: Unity
16.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,PlayStation 4,3307215893227,1001,35.00,22.00,Assassin's Creed: Syndicate
14.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,PlayStation 4,5030934121637,1001,30.00,19.00,Star Wars: Battlefront
12.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,PlayStation 4,3307215793633,1001,25.00,16.00,Far Cry 4
19.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,PlayStation 4,711719407515,1001,40.00,26.00,"Last of Us, The - Remastered"
14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,PlayStation 4,5055856406242,1001,30.00,19.00,Fallout 4
16.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,PlayStation 4,3391891979016,1001,35.00,22.00,Witcher 3: Wild Hunt
0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,PlayStation 4,5030947112387,1001,6.00,1.80,FIFA 15
14.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,PlayStation 4,5051893179637,1001,30.00,19.00,Batman: Arkham Knight
6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,PlayStation 4,5030917148019,1001,28.00,10.00,Call Of Duty: Advanced Warfare
12.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,PlayStation 4,5030936111346,1001,25.00,16.00,Battlefield 4
20.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,PlayStation 4,711719866534,1001,42.00,27.00,Uncharted: The Nathan Drake Collection
7.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,PlayStation 4,711719275473,1001,15.00,9.00,Killzone: Shadow Fall
13.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,PlayStation 4,5055856403418,1001,28.00,18.00,Doom (2016)
19.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,PlayStation 4,5035223113737,1001,40.00,26.00,Need For Speed (2015)
9.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,PlayStation 4,4020628868550,1001,20.00,13.00,Homefront: The Revolution
12.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,PlayStation 4,711719277071,1001,25.00,16.00,DriveClub
13.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,PlayStation 4,711719843337,1001,28.00,18.00,God of War 3 - Remasterizado
18.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,PlayStation 4,711719439912,1001,38.00,24.00,Minecraft
8.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,PlayStation 4,5030946112425,1001,18.00,11.00,Battlefield Hardline
16.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,PlayStation 4,711719874737,1001,35.00,22.00,Until Dawn
9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,PlayStation 4,0711719284697,1001,20.00,13.00,"Order 1886, The"
19.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,PlayStation 4,5030932116925,1001,40.00,26.00,Titanfall 2
12.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,PlayStation 4,3307215715239,1001,25.00,16.00,Assassin's Creed 4: Black Flag
30.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,PlayStation 4,5030917188893,1001,55.00,37.00,Overwatch
16.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,PlayStation 4,3391891980685,1001,35.00,22.00,Dragon Ball: Xenoverse
21.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,PlayStation 4,4012927102336,1001,45.00,29.00,Pro Evolution Soccer 2017
13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,PlayStation 4,0711719278870,1001,28.00,18.00,InFamous Second Son
12.00,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,PlayStation 4,093155149007,1001,25.00,16.00,"Evil Within, The"
18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,PlayStation 4,3307215889121,1001,38.00,24.00,Rainbow Six: Siege
29.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,PlayStation 4,5026555422079,1001,52.00,35.00,NBA 2K17
22.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,PlayStation 4,5055856410706,1001,40.00,27.00,Dishonored 2 (Sin DLC)
26.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,PlayStation 4,5021290074811,1001,55.00,35.00,Rise of the Tomb Raider
19.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,PlayStation 4,711719848233,1001,40.00,26.00,Ratchet & Clank (2016)
14.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,PlayStation 4,0711719800415,1001,30.00,19.00,Bloodborne
13.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,PlayStation 4,5051893165128,1001,28.00,18.00,"Tierra-Media, La: Sombras De Mordor"
36.00,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,PlayStation 4,3391891990097,1001,65.00,44.00,Dragon Ball Xenoverse 2
