precio_venta,titulo,precio_compra,categoria_id,img_caratula,precio_intercambio,sku,categoria_str
22.00,Batman: Arkham Knight,9.00,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,13.00,5051893179637,PlayStation 4
35.00,Uncharted: The Nathan Drake Collection,15.00,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,22.00,711719866534,PlayStation 4
22.00,Call Of Duty: Advanced Warfare,5.00,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,8.00,5030917148019,PlayStation 4
32.00,"Last Guardian, The",14.00,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,20.00,711719838951,PlayStation 4
30.00,Witcher 3: Wild Hunt,13.00,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,18.00,3391891979016,PlayStation 4
28.00,Fallout 4,12.00,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,17.00,5055856406242,PlayStation 4
5.00,FIFA 15,0.70,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1.50,5030947112387,PlayStation 4
62.00,Nioh,34.00,1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,42.00,711719817963,PlayStation 4
18.00,Battlefield 4,8.00,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,11.00,5030936111346,PlayStation 4
20.00,Doom (2016),9.00,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,12.00,5055856403418,PlayStation 4
20.00,God of War 3 - Remasterizado,9.00,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,12.00,711719843337,PlayStation 4
10.00,Killzone: Shadow Fall,2.00,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,3.00,711719275473,PlayStation 4
28.00,Bloodborne,12.00,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,17.00,0711719800415,PlayStation 4
20.00,DriveClub,9.00,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,12.00,711719277071,PlayStation 4
42.00,Rainbow Six: Siege,18.00,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,26.00,3307215889121,PlayStation 4
40.00,Pro Evolution Soccer 2017,18.00,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,25.00,4012927102336,PlayStation 4
12.00,Homefront: The Revolution,5.00,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,7.00,4020628868550,PlayStation 4
22.00,InFamous Second Son,9.00,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,13.00,0711719278870,PlayStation 4
58.00,Dragon Ball Xenoverse 2,26.00,1001,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,36.00,3391891990097,PlayStation 4
25.00,"Tierra-Media, La: Sombras De Mordor",11.00,1001,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,15.00,5051893165128,PlayStation 4
32.00,Titanfall 2,14.00,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,20.00,5030932116925,PlayStation 4
32.00,Dragon Ball: Xenoverse,14.00,1001,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,20.00,3391891980685,PlayStation 4
52.00,Overwatch,23.00,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,32.00,5030917188893,PlayStation 4
28.00,Until Dawn,12.00,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,17.00,711719874737,PlayStation 4
32.00,Need For Speed (2015),14.00,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,20.00,5035223113737,PlayStation 4
40.00,Rise of the Tomb Raider,18.00,1001,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,25.00,5021290074811,PlayStation 4
32.00,Minecraft,14.00,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,20.00,711719439912,PlayStation 4
20.00,No Man's Sky,9.00,1001,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,12.00,0711719849834,PlayStation 4
