sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
3307215732939,1001,Watch Dogs,4.00,PlayStation 4,2.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00
711719407515,1001,"Last of Us, The - Remastered",20.00,PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,32.00
3307215889121,1001,Rainbow Six: Siege,22.00,PlayStation 4,15.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,35.00
4012927100417,1001,Metal Gear Solid V: The Phantom Pain,9.00,PlayStation 4,6.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,15.00
5055856406242,1001,Fallout 4,13.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,22.00
5030917124549,1001,Destiny,3.00,PlayStation 4,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,10.00
5030941116350,1001,Mass Effect: Andrómeda (Sin DLC),47.00,PlayStation 4,40.00,/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,65.00
711719277071,1001,DriveClub,9.00,PlayStation 4,6.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,15.00
4012927102336,1001,Pro Evolution Soccer 2017,24.00,PlayStation 4,17.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,38.00
711719838951,1001,"Last Guardian, The",20.00,PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,32.00
5051893179637,1001,Batman: Arkham Knight,12.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,20.00
3391891979016,1001,Witcher 3: Wild Hunt,18.00,PlayStation 4,13.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,30.00
3307215793633,1001,Far Cry 4,6.00,PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00
