titulo,categoria_id,precio_compra,precio_intercambio,categoria_str,img_caratula,sku,precio_venta
Killzone: Shadow Fall,1001,5.00,7.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,12.00
Battlefield 4,1001,9.00,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,5030936111346,22.00
Ratchet & Clank (2016),1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,711719848233,32.00
Batman: Return To Arkham,1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5051893230963_s.jpg,5051893230963,32.00
NBA 2K17,1001,22.00,31.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,5026555422079,50.00
FIFA 15,1001,0.90,1.80,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,6.00
"Order 1886, The",1001,9.00,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,0711719284697,20.00
Homefront: The Revolution,1001,6.00,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,4020628868550,15.00
Pro Evolution Soccer 2017,1001,18.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,42.00
Titanfall 2,1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,5030932116925,32.00
Need For Speed (2015),1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,35.00
NBA 2K16,1001,4.00,6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,5026555421256,18.00
Little Big Planet 3,1001,11.00,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,711719446019,25.00
Just Cause 3,1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,35.00
Dragon Ball: Xenoverse,1001,13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,3391891980685,30.00
Assassin's Creed 4: Black Flag,1001,9.00,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,3307215715239,20.00
Assassin's Creed: The Ezio Collection,1001,17.00,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,3307215977453,38.00
Bloodborne,1001,12.00,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,0711719800415,28.00
Dragon Ball Xenoverse 2,1001,24.00,34.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,3391891990097,55.00
