titulo,sku,precio_intercambio,precio_compra,categoria_str,precio_venta,categoria_id,img_caratula
Minecraft,711719439912,25.00,18.00,PlayStation 4,40.00,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg
Battlefield 4,5030936111346,17.00,12.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg
Assassin's Creed 4: Black Flag,3307215715239,13.00,9.00,PlayStation 4,22.00,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg
Rainbow Six: Siege,3307215889121,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg
Pro Evolution Soccer 2017,4012927102336,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg
Overwatch,5030917188893,39.00,32.00,PlayStation 4,58.00,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg
DriveClub,711719277071,17.00,12.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg
No Man's Sky,0711719849834,13.00,9.00,PlayStation 4,22.00,1001,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg
Need For Speed (2015),5035223113737,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg
Bloodborne,0711719800415,17.00,12.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg
Battlefield Hardline,5030946112425,9.00,6.00,PlayStation 4,15.00,1001,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg
Dishonored 2 (Sin DLC),5055856410706,24.00,17.00,PlayStation 4,38.00,1001,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg
InFamous Second Son,0711719278870,17.00,12.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg
Dying Light The Following: Enhanced Edition,5051890302113,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg
NBA 2K17,5026555422079,31.00,22.00,PlayStation 4,50.00,1001,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg
Titanfall 2,5030932116925,24.00,17.00,PlayStation 4,38.00,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg
Homefront: The Revolution,4020628868550,11.00,8.00,PlayStation 4,18.00,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg
Rise of the Tomb Raider,5021290074811,32.00,23.00,PlayStation 4,52.00,1001,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg
Just Cause 3,5021290069459,22.00,15.00,PlayStation 4,35.00,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg
