precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
1.20,1.90,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,827,882224918343,Forza Motorsport 3 (2 Discos),Xbox 360,5.00
2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,827,0885370309607,Gears of War 3,Xbox 360,6.00
5.00,7.00,/product_images/Juegos/Xbox 360 Juegos/3307215634936_s.jpg,827,3307215634936,Assassin's Creed III (3) 2 Discos,Xbox 360,12.00
6.00,9.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,827,0885370606515,Minecraft,Xbox 360,15.00
14.00,20.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,1002,0889842121575,Gears of War 4,Xbox One,32.00
14.00,20.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,1002,5030917181863,Call Of Duty: Black Ops III,Xbox One,32.00
18.00,25.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,1002,5030937116425,FIFA 17,Xbox One,40.00
17.00,24.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,1002,5026555284127,Grand Theft Auto V (5),Xbox One,38.00
12.00,17.00,/product_images/Juegos/Xbox One Juegos/5051893230970_s.jpg,1002,5051893230970,Batman: Return To Arkham,Xbox One,28.00
8.00,11.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,1002,885370662221,Ryse: Son Of Rome,Xbox One,18.00
34.00,42.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,1002,3307215915127,For Honor,Xbox One,62.00
5.00,7.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,1002,885370951844,Gears Of War: Ultimate Edition,Xbox One,12.00
8.00,11.00,/product_images/defimg1_s.jpg,1002,5051893232813,Batman: The Telltale Series,Xbox One,18.00
29.00,35.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,1002,5055060965924,Resident Evil 7: Biohazard,Xbox One,52.00
9.00,13.00,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,1002,5055856403524,Doom (2016),Xbox One,22.00
4.00,6.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,1002,85370663983,Dead Rising 3,Xbox One,18.00
8.00,11.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,1002,0885370863956,Halo: The Master Chief Collection,Xbox One,18.00
8.00,11.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,1002,885370929669,Halo 5: Guardians,Xbox One,18.00
12.00,17.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,1002,5026555297356,Mafia III,Xbox One,28.00
8.00,11.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,1001,3307215793633,Far Cry 4,PlayStation 4,18.00
5.00,7.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,1001,3307215732939,Watch Dogs,PlayStation 4,12.00
9.00,13.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,3307215893227,Assassin's Creed: Syndicate,PlayStation 4,22.00
9.00,13.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,1001,5051893179637,Batman: Arkham Knight,PlayStation 4,22.00
17.00,24.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,1001,5021290072985,Final Fantasy XV,PlayStation 4,38.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,1001,3307215803530,Assassin's Creed: Unity,PlayStation 4,20.00
12.00,17.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,1001,3307215938782,Far Cry Primal,PlayStation 4,28.00
12.00,17.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,1001,5055856406242,Fallout 4,PlayStation 4,28.00
5.00,8.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,1001,5030917148019,Call Of Duty: Advanced Warfare,PlayStation 4,22.00
8.00,11.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,1001,4012927100417,Metal Gear Solid V: The Phantom Pain,PlayStation 4,18.00
