precio_compra,precio_intercambio,categoria_str,img_caratula,precio_venta,sku,titulo,categoria_id
15.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,32.00,3307215893227,Assassin's Creed: Syndicate,1001
15.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,32.00,5055856406242,Fallout 4,1001
13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,28.00,711719277071,DriveClub,1001
1.20,2.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,8.00,5030947112387,FIFA 15,1001
14.00,19.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,30.00,5051893179637,Batman: Arkham Knight,1001
13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,28.00,5055856403418,Doom (2016),1001
6.00,10.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,28.00,5030917148019,Call Of Duty: Advanced Warfare,1001
18.00,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,38.00,3391891979016,Witcher 3: Wild Hunt,1001
13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,28.00,5030936111346,Battlefield 4,1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,42.00,3307215889121,Rainbow Six: Siege,1001
19.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,40.00,711719866534,Uncharted: The Nathan Drake Collection,1001
18.00,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,38.00,5030932116925,Titanfall 2,1001
24.00,33.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,52.00,5021290074811,Rise of the Tomb Raider,1001
38.00,42.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,55.00,5021290072022,Kingdom Hearts HD 2.8 Final Chapter Prologue,1001
10.00,14.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,22.00,3307215715239,Assassin's Creed 4: Black Flag,1001
18.00,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,38.00,5055856410706,Dishonored 2 (Sin DLC),1001
13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,28.00,0711719800415,Bloodborne,1001
14.00,19.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,30.00,711719843337,God of War 3 - Remasterizado,1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,42.00,5035223113737,Need For Speed (2015),1001
16.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,35.00,711719874737,Until Dawn,1001
32.00,39.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,58.00,5030917188893,Overwatch,1001
24.00,32.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,50.00,5026555422079,NBA 2K17,1001
13.00,18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,28.00,0711719278870,InFamous Second Son,1001
7.00,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,15.00,5030946112425,Battlefield Hardline,1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,42.00,4012927102336,Pro Evolution Soccer 2017,1001
