categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
834,3.00,Nintendo DS,1.10,0.70,Veterinarios en Accion,5390102488987,/product_images/defimg2_s.jpg
834,8.00,Nintendo DS,5.00,3.00,Wild & Frei: Abenteuer Pferderucken,5390102489021,/product_images/defimg1_s.jpg
834,3.50,Nintendo DS,1.30,0.80,Poker Training,5390102496470,/product_images/Juegos/DS Juegos/5390102496470_s.jpg
834,4.50,Nintendo DS,1.70,1.00,Playmobil Piratas al Abordaje,5390102496722,/product_images/Juegos/DS Juegos/5390102496722_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Deal or No Deal - The Banker Is Back,5390102498566,/product_images/defimg1_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Are You Smarter Than A 10 Year Old?,5390102498580,/product_images/Juegos/DS Juegos/5390102498580_s.jpg
834,1.00,Nintendo DS,0.30,0.10,Golden Balls,5390102498597,/product_images/defimg3_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Donde Esta Carmen Sandiego?,5390102498924,/product_images/defimg3_s.jpg
834,7.00,Nintendo DS,4.00,3.00,Garden Guide,5390102504069,/product_images/defimg1_s.jpg
834,2.50,Nintendo DS,0.90,0.60,I'm A Celebrity... Get Me Out of Here!,5390102504106,/product_images/defimg2_s.jpg
834,0.50,Nintendo DS,0.10,0.01,Countdown (UK),5390102506803,/product_images/Juegos/DS Juegos/5390102506803_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Family Fortunes,5390102506827,/product_images/defimg4_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Beat The Intro,5390102506858,/product_images/Juegos/DS Juegos/5390102506858_s.jpg
830,0.75,PC,0.20,0.10,Zoo Empire,8437010562006,/product_images/defimg1_s.jpg
830,1.00,PC,0.30,0.10,AIM Racing,843701056200,/product_images/defimg4_s.jpg
830,0.25,PC,0.01,0.01,Classic Car Racing,843701056200,/product_images/defimg1_s.jpg
830,0.25,PC,0.01,0.01,Brain Games E.E.,8437011575005,/product_images/defimg5_s.jpg
830,1.00,PC,0.30,0.10,Angry Birds: Star Wars,8437011575104,/product_images/defimg3_s.jpg
830,0.50,PC,0.10,0.10,Rift (P),845841000266,/product_images/defimg3_s.jpg
830,3.00,PC,1.00,0.60,Zelenhgorm Land Of The Blue Moon,854657000001,/product_images/defimg5_s.jpg
830,8.00,PC,2.00,1.60,UFO: Trilogy,8595559300173,/product_images/defimg1_s.jpg
830,1.50,PC,0.40,0.20,Lego Racers 2,8711539017095,/product_images/defimg3_s.jpg
830,0.25,PC,0.01,0.01,Lego 3 Games,8711539044725,/product_images/defimg2_s.jpg
830,0.10,PC,0.01,0.01,Lego Drome racers,8711539044732,/product_images/defimg2_s.jpg
830,0.25,PC,0.01,0.01,Lego Football Mania,8711539044749,/product_images/defimg5_s.jpg
830,0.50,PC,0.10,0.01,Pack LEGO 2*1 (Football Mania+Island Xtr,8711539047795,/product_images/defimg4_s.jpg
830,10.00,PC,3.00,2.00,Lego PC Games (Collectors Box),8711539048488,/product_images/defimg2_s.jpg
830,3.00,PC,0.90,0.40,Knight Rider 2,8712823041437,/product_images/defimg2_s.jpg
830,1.00,PC,0.30,0.10,Miami Vice,8712823041925,/product_images/defimg1_s.jpg
830,4.00,PC,1.20,0.60,SAS Antiterror Force,8712823042786,/product_images/defimg2_s.jpg
830,1.00,PC,0.30,0.10,London Racer Destruction Madness,8712823042984,/product_images/defimg2_s.jpg
830,0.25,PC,0.01,0.01,London Racer Police Madness,8712823043080,/product_images/defimg1_s.jpg
830,5.00,PC,1.80,1.00,Knight Rider,8712823977897,/product_images/defimg1_s.jpg
830,2.00,PC,0.70,0.40,Corrupcion En Miami,8712823978382,/product_images/defimg5_s.jpg
830,0.50,PC,0.10,0.01,Ultimate Mahjongg,8715181998740,/product_images/defimg2_s.jpg
830,7.00,PC,4.00,3.00,ALONE IN THE DARK 3,8715686004168,/product_images/defimg2_s.jpg
830,0.25,PC,0.01,0.01,Voodoo Kid,8715686004700,/product_images/defimg2_s.jpg
830,0.75,PC,0.20,0.10,Nelson Piquet's Grand Prix Evolution,8715686005059,/product_images/defimg2_s.jpg
830,3.00,PC,0.90,0.40,Lemmings,8715686005318,/product_images/defimg1_s.jpg
830,0.10,PC,0.01,0.01,Shadowmaster,8715686005325,/product_images/defimg3_s.jpg
830,2.00,PC,0.60,0.30,Need For Speed: Hot Pursuit III,8715686006537,/product_images/defimg3_s.jpg
830,1.50,PC,0.40,0.20,Sim Park,8715686007091,/product_images/defimg4_s.jpg
830,1.50,PC,0.40,0.20,Sim Tower,8715686007343,/product_images/defimg3_s.jpg
830,2.00,PC,0.70,0.40,Nascar Revolution,8715686007541,/product_images/defimg2_s.jpg
830,0.25,PC,0.01,0.01,Virtual Pool Hall,8715686009941,/product_images/defimg4_s.jpg
830,0.10,PC,0.01,0.01,Fighter Pilot,8715686012125,/product_images/defimg3_s.jpg
830,1.00,PC,0.30,0.10,Adventure Pinball Forgotten Island,8715686012705,/product_images/defimg5_s.jpg
830,0.25,PC,0.01,0.01,NHL 2000,8715686012781,/product_images/defimg2_s.jpg
830,0.50,PC,0.10,0.01,Hopmon - They're Gonna Get Ya,8715686012934,/product_images/defimg2_s.jpg
830,0.25,PC,0.01,0.01,Hearts Deluxe,8715686013627,/product_images/defimg4_s.jpg
